Eigentumswohnungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,
Block, Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² , Anzahl , Mittelwert KP/m² ,
050176, 1 ," 3,304 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050177,,,,,,, 2 ,,,, 1 ,, 3 ,, 1 ,,,,,,,, 3 ," 3,730 ", 1 ,,,, 1 ,,,,,,,,,,,,,,,,
050178,,,,,,,,,,,,, 1 ,,,, 1 ," 2,367 ",,, 1 ," 1,442 ",,,,,,,,,,,,,,,,,,,,,,,
050179,,,,,,, 2 ," 1,085 ",,, 1 ," 1,777 ",,, 1 , 944 ,,,,, 1 ," 1,288 ",,, 1 ," 2,263 ",,, 3 ," 2,871 ",,,,, 1 ," 3,777 ",,,,, 1 ," 4,361 ",,,
050180, 1 ," 1,801 ",,,,, 2 ," 1,316 ",,,,, 2 , 821 ,,, 1 , 806 , 2 ," 1,556 ", 1 ," 1,096 ",,, 1 ," 1,723 ", 2 ," 2,742 ",,,,,,, 1 ," 3,687 ",,,,, 1 ," 4,751 ",,,
050181,,, 1 ," 1,561 ", 3 ," 1,375 ",,, 1 ," 1,373 ", 2 ," 1,455 ",,,,, 1 ," 7,248 ", 1 , 666 ,,,,,,,,,,,,,,, 2 ," 2,942 ",,,,,,,,,
050182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3 ," 2,459 ",,,,,,,,,
050183, 13 ," 1,556 ", 9 ," 1,611 ", 10 ," 1,641 ", 15 ," 1,385 ", 9 ," 1,314 ", 12 ," 1,146 ", 40 ," 1,251 ", 2 ," 1,680 ", 3 ," 1,552 ", 3 ," 1,555 ", 6 ," 1,470 ", 10 ," 1,519 ", 25 ," 1,613 ", 10 ," 1,705 ", 5 ," 2,109 ", 5 ," 1,927 ", 11 ," 2,900 ", 9 ," 2,225 ", 1 ," 4,279 ", 2 ," 4,311 ", 6 ," 3,548 ",,,
050185, 2 ," 1,391 ", 7 ," 1,756 ", 2 ," 1,603 ",,, 2 ," 1,330 ", 7 ," 1,324 ", 12 , 966 ,,, 1 ," 1,860 ", 2 ," 1,717 ",,, 3 ," 2,153 ", 3 ," 1,683 ", 6 ," 1,678 ", 5 ," 2,447 ", 3 ," 2,328 ", 1 ," 3,505 ", 1 ," 4,297 ", 1 ," 3,741 ", 2 ," 4,048 ",,,,,
050186,,,,,,,,,,,,,,,,,,,,,,, 1 ," 4,553 ", 12 ," 3,224 ",,,,, 2 ," 3,581 ",,,,,,, 1 ," 6,249 ",,,,,
050187,,, 1 ," 2,106 ", 1 ," 1,407 ",,,,,,,,,,,,, 1 ," 1,434 ", 1 ," 2,770 ",,,,,,,,,,,,,,,,,,,,,,,
050190, 1 ," 2,054 ",,, 2 ,,,, 1 ,, 2 , 546 , 4 ," 1,617 ", 2 ,, 4 ," 2,316 ", 3 ," 1,226 ", 1 ,, 2 ," 3,085 ",,, 2 ," 2,757 ", 3 ," 2,728 ", 2 ," 4,710 ", 1 ,, 3 ," 3,103 ",,,,, 1 ," 5,111 ", 1 ,,
050191,,,,,,,,,,,,,,, 2 ," 1,314 ",,,,, 1 ," 2,171 ",,,,,,, 1 ," 1,965 ",,, 2 ," 3,923 ",,,,, 1 ," 3,910 ",,,,,
050193, 1 ," 2,038 ",,,,,,,,,,,,,,, 1 ," 2,492 ",,,,, 1 ," 1,335 ",,, 1 ," 2,740 ", 3 ," 2,300 ", 2 ," 2,725 ", 1 ," 4,214 ",,,,, 1 ," 3,799 ", 1 ," 4,348 ", 1 ," 1,370 ",
050194,,,,, 2 ," 1,258 ",,, 1 , 878 , 1 , 758 , 2 ," 1,415 ", 2 , 846 , 1 ," 1,261 ", 2 ," 1,245 ", 2 ," 1,654 ",,, 1 ," 2,035 ", 1 ," 1,892 ",,,,, 1 ," 2,782 ",,,,, 1 ," 4,086 ",,,,,
050196,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 10 ," 5,712 ", 13 ," 5,612 ", 24 ," 5,549 ", 32 ," 6,146 ", 15 ," 5,858 ", 1 ," 5,901 ",,,,,
050197,,,,,,,,,,,,,,, 1 ," 3,132 ",,,,, 2 ,,,,,,,,,,,,,,,,,, 2 ," 5,168 ",,,,,
050202, 3 ," 1,422 ", 1 ," 1,403 ", 3 ," 1,275 ", 12 ," 1,227 ", 16 ," 1,139 ", 11 ," 1,187 ", 3 ," 1,205 ", 4 ," 1,216 ", 2 ," 1,390 ", 6 ," 1,142 ", 9 ," 1,169 ", 39 ," 1,129 ", 7 ," 1,575 ", 6 ," 1,415 ", 3 ," 1,918 ", 2 ," 1,685 ", 1 ," 2,459 ", 3 ," 2,474 ", 5 ," 2,983 ", 6 ," 3,516 ", 1 ," 3,293 ", 1 ," 4,747 ",
050205, 1 ," 1,839 ",,, 4 , 792 , 1 ," 1,522 ",,,,, 1 , 886 , 1 , 477 , 1 ," 1,610 ",,, 3 ," 1,618 ", 4 ," 1,311 ", 4 ," 2,409 ", 10 ," 2,348 ",,, 1 ," 2,281 ", 15 ," 5,541 ", 15 ," 5,487 ", 2 ," 4,973 ", 1 ," 3,560 ",,,,,
050206,,,,, 2 ," 1,543 ", 1 ," 1,169 ",,,,,,,,, 2 ," 1,137 ",,, 1 ," 1,517 ",,, 1 ," 1,478 ", 1 ," 1,868 ", 1 ," 2,100 ", 2 ," 3,171 ", 1 ," 2,908 ",,, 1 ," 3,529 ", 1 , 743 , 3 ," 3,543 ", 1 ," 4,486 ",
050637, 1 ," 1,760 ",,, 1 ," 1,845 ",,,,, 1 ," 1,536 ", 2 ," 1,593 ",,, 1 ,,,, 2 ," 2,079 ",,,,, 1 ," 2,096 ",,, 1 ," 3,160 ", 2 ," 3,841 ",,,,,,,,,,,
050648,,, 6 ,, 14 ,, 14 ,, 10 ," 1,282 ", 10 ,, 6 ,, 6 ," 1,389 ",,, 15 ," 1,331 ", 30 ," 1,365 ", 46 ," 1,381 ", 22 ," 1,477 ", 27 ," 1,554 ", 26 ," 1,650 ", 1 ,, 3 ," 2,858 ", 3 ," 1,805 ", 6 ," 3,584 ", 9 ," 3,283 ", 2 ," 4,169 ", 2 ," 3,604 ",
050659,,,,,,,,,,,,, 5 ,, 1 ,,,,,, 1 ," 1,887 ", 1 ," 3,133 ",,,,,,,,,,,,,,,,,,,,,
050672, 4 ," 1,411 ",,, 2 ," 2,170 ", 3 ," 2,348 ",,,,,,, 1 ," 1,907 ", 1 ," 1,776 ", 2 ,,,, 1 ," 1,290 ", 1 ," 1,006 ",,,,,,,,,,,,,,, 2 ," 7,718 ",,,
050674, 1 ,,,,,,,,,,,,,,,,,, 3 ," 2,609 ",,,,,,,,, 1 ,,,,,,,, 1 ," 6,261 ",,, 1 ,,,,
051001,,,,,,,,,,,,,,,,,,,,,,,,, 8 ," 4,247 ", 7 ," 4,352 ", 1 ," 4,323 ", 6 ," 4,990 ", 1 ," 5,426 ",,,,, 1 ," 6,061 ", 2 ," 7,350 ", 1 ," 8,969 ",
051002,,,,,,,,,,,,,,,,,,,,,,,,, 3 ," 4,351 ", 7 ," 4,319 ", 3 ," 4,877 ", 2 ," 4,612 ", 2 ," 5,274 ", 2 ," 5,045 ",,,,,,,,,
051004,,,,, 1 ," 1,561 ", 2 ," 2,283 ",,, 1 ," 2,250 ", 1 ," 1,673 ", 4 ," 1,472 ", 1 ," 2,312 ", 1 ," 1,621 ", 2 ," 2,000 ", 1 ," 2,797 ", 1 ," 2,302 ", 5 ," 3,139 ", 1 ," 2,277 ", 3 ," 3,179 ", 1 ," 4,870 ", 1 ," 2,998 ", 2 ," 4,187 ", 2 ," 4,128 ", 1 ," 6,708 ",,,
051005,,,,,,,,,,,,,,,,,,,,, 1 ," 2,712 ", 1 ," 1,861 ",,,,, 1 ," 1,451 ", 1 ," 3,330 ",,,,,,, 1 ," 4,941 ", 2 ," 5,694 ",,,
051006,,,,,,, 1 ," 4,516 ",,,,,,,,,,,,,,,,,,, 3 ," 5,031 ",,, 1 ,, 1 ," 4,667 ", 1 ," 5,174 ", 1 ,,,, 1 ," 8,343 ",,,
051007, 1 ," 3,085 ", 1 ," 2,065 ", 1 ," 3,305 ", 1 ,, 2 ," 1,838 ", 1 ,,,, 2 ," 3,318 ",,, 1 ," 1,901 ", 1 ," 2,292 ",,,,, 3 ," 3,882 ", 2 ," 3,471 ", 1 ," 3,532 ", 2 ," 3,988 ", 3 ," 3,196 ", 1 ,, 1 ," 5,817 ", 2 ," 4,969 ", 1 ," 5,321 ",
051009,,, 1 ," 2,612 ",,,,, 8 ,, 13 ," 1,565 ", 6 ,, 4 ,, 2 ,,,, 4 ,, 1 ,,,, 1 ,,,,,,,, 2 ,,,, 1 ,, 4 ," 5,250 ", 1 ,,
051010,,,,,,,,,,,,,,,,, 1 ," 1,947 ", 1 ," 2,070 ", 2 ," 2,248 ", 1 ,,,, 1 ," 3,374 ",,,,,,,,,,,,,,,,,
051011,,, 1 , 835 ,,, 1 ," 2,792 ", 1 ," 2,389 ", 1 ," 1,785 ",,,,,,, 1 ," 3,298 ",,, 1 ," 2,940 ",,,,, 1 ," 4,575 ",,,,,,, 1 ," 4,105 ",,,,,,,
051012,,,,,,,,, 5 ," 1,598 ", 2 ," 2,365 ", 2 ," 2,126 ", 7 ," 3,162 ", 2 ," 2,801 ", 3 ," 1,883 ", 4 ," 2,877 ", 4 ," 3,325 ", 5 ," 2,693 ", 4 ," 2,329 ",,, 2 ," 5,341 ",,, 4 ," 3,261 ",,, 2 ," 4,791 ",,,,,
051013, 1 ," 2,736 ",,, 2 ," 2,405 ",,,,, 1 ," 1,708 ", 1 ," 2,092 ", 2 ," 2,229 ", 1 ," 1,765 ", 2 ," 1,754 ", 1 ," 2,733 ", 2 ," 2,141 ", 2 ," 2,041 ", 2 ," 2,050 ",,, 2 ," 2,679 ", 1 ," 3,968 ",,, 1 ," 4,995 ",,, 1 ," 5,937 ", 1 ," 9,205 ",
051016,,,,,,,,,,, 11 ," 1,591 ", 14 ," 1,755 ", 11 ," 1,708 ", 13 ," 1,613 ", 11 ," 1,660 ", 6 ," 1,926 ", 9 ," 1,780 ", 13 ," 1,698 ", 9 ," 2,005 ", 4 ," 2,221 ", 5 ," 2,435 ", 1 ," 4,417 ", 2 ," 3,409 ", 1 ," 4,125 ",,, 1 ," 3,456 ", 1 ," 2,927 ",
051017, 1 ," 1,913 ",,,,, 1 ," 1,197 ",,,,,,,,,,,,,,,,,,,,,,, 1 , 872 ,,,,,,,,,,,,,
051018,,,,,,,,,,,,,,,,,,,,,,,,,,, 3 ,,,,,, 4 ," 4,231 ", 7 ," 3,590 ", 8 ," 3,708 ",,, 5 ," 3,832 ",,,
051020, 1 ," 3,203 ", 1 ," 2,130 ",,, 1 ," 1,588 ",,, 1 ," 1,688 ", 2 ," 3,504 ",,, 1 ," 1,475 ", 3 ," 1,928 ", 3 ," 1,946 ", 1 ," 2,528 ", 3 ," 2,588 ",,, 3 ," 3,268 ", 2 ," 3,422 ", 1 ," 2,500 ", 2 ," 4,780 ",,, 2 ," 5,747 ", 1 ," 10,278 ",,,
051021,,,,, 2 ," 2,940 ", 1 ," 2,786 ", 1 ," 3,667 ",,,,,,,,,,,,, 1 ," 2,467 ", 1 ," 1,227 ",,,,,,, 1 ," 4,208 ",,,,,,, 2 ," 5,634 ",,,
051022, 1 ," 2,995 ",,, 1 ," 2,345 ", 1 ," 3,558 ",,, 1 ," 2,115 ",,, 1 ," 2,925 ", 2 ," 3,367 ", 1 ," 2,868 ", 2 ," 2,036 ",,,,,,,,, 1 ," 4,681 ", 1 ," 4,421 ",,, 1 ," 5,696 ", 2 ," 6,312 ",,, 1 ," 6,711 ",
051023,,,,, 1 ," 1,433 ",,,,,,,,,,, 1 ," 1,734 ",,, 1 ," 1,799 ", 1 ," 2,038 ", 1 ,, 2 ," 6,246 ", 1 ," 7,405 ", 1 ," 2,373 ",,, 1 ," 12,319 ",,,,,,,,,
051025, 1 ," 1,755 ",,, 1 ," 2,694 ",,,,, 1 ," 1,604 ", 1 ," 1,136 ",,,,,,,,,,, 1 ," 2,898 ",,,,,,,,, 1 ," 2,860 ", 2 ," 4,633 ",,,,,,,
051026,,, 1 ," 3,036 ", 2 ," 1,235 ", 1 ," 5,075 ",,, 1 ," 3,986 ", 1 ," 1,887 ", 2 ," 1,528 ",,,,, 1 ," 1,239 ",,,,, 2 ," 2,794 ", 1 ,,,,,, 2 ," 2,693 ",,,,, 1 ," 5,835 ",,,
051027,,,,, 2 ," 2,226 ", 2 ," 2,371 ", 3 ," 2,510 ", 2 ," 2,407 ", 1 ," 1,533 ", 1 ," 1,310 ", 2 ," 1,989 ",,,,, 1 ," 1,862 ",,, 1 ," 2,727 ", 3 ," 3,600 ", 2 ," 5,748 ",,, 1 ," 4,545 ", 2 ," 7,296 ", 1 ," 5,455 ",,, 1 ," 5,658 ",
051028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,
051029,,,,,,, 1 ,, 5 ,, 2 ,,,, 1 ," 2,821 ", 1 ," 1,558 ",,, 2 ," 3,474 ",,,,, 1 ," 3,236 ",,,,,,, 1 ," 4,023 ",,, 2 ," 5,382 ",,,,,
051030,,,,,,,,,,,,,,,,,,,,,,,,, 3 ," 1,250 ",,,,,,,,,,, 1 ," 7,833 ", 1 ,, 1 ," 7,304 ",,,
051031,,,,,,,,,,,,,,,,,,, 1 ," 3,104 ", 1 ," 2,503 ",,,,, 1 ," 3,537 ",,,,,,,,,,,,, 4 ,,,,
051032,,,,,,,,,,, 1 ," 2,378 ", 3 ," 3,928 ",,, 1 ," 3,345 ",,,,,,, 1 ," 3,436 ",,,,, 1 ," 4,412 ",,, 1 ," 6,266 ", 1 ," 6,795 ",,,,,,,
051033,,,,, 1 ," 2,976 ",,,,, 1 ," 2,672 ",,,,,,,,, 1 ," 3,053 ", 1 ," 2,799 ", 1 ," 4,241 ",,, 1 ," 3,499 ", 4 ,,,, 2 ," 4,686 ",,, 1 ,,,, 1 ," 6,743 ",
051034, 1 ," 1,632 ", 1 ," 2,903 ",,, 1 ," 2,730 ",,,,, 3 ," 1,627 ", 1 ," 1,493 ", 1 ," 2,656 ", 1 ," 1,505 ", 1 ," 2,876 ",,,,, 1 ," 3,257 ",,,,,,, 2 ," 3,590 ",,,,, 3 ," 6,385 ",,,
051035,,, 4 ,, 2 ," 2,487 ",,, 2 ," 2,191 ",,, 3 ," 2,434 ", 1 ," 3,059 ", 4 ," 2,861 ", 1 ," 3,178 ",,, 3 ," 2,671 ", 3 ," 4,436 ", 1 ," 4,059 ", 1 ," 3,587 ", 3 ," 4,246 ", 1 ," 3,482 ", 1 ," 3,205 ",,,,,,,,,
051039,,,,,,,,,,,,,,, 1 ," 2,433 ",,, 1 ," 2,000 ", 2 ,,,,,,,, 1 ,,,,,,,,,,,,,,,,
051040,,,,,,,,, 1 ," 2,773 ", 1 ," 2,115 ",,,,,,,,, 2 ," 2,157 ",,,,, 1 ," 2,424 ",,,,, 3 ,, 2 ," 5,004 ",,,,, 1 ," 5,577 ",,,
051042,,,,,,,,,,,,,,, 1 ," 1,591 ",,,,, 1 ," 2,276 ", 1 ," 2,528 ",,,,, 1 , 364 , 3 ," 4,130 ",,, 3 ," 4,642 ",,,,, 2 ," 8,538 ", 1 ," 10,102 ",
051043,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051044,,,,,,,,, 2 ," 2,105 ", 1 ," 1,679 ",,, 3 ,, 1 ,, 1 ," 4,506 ", 1 ," 3,444 ", 1 ," 1,915 ", 1 ," 2,168 ", 4 ," 3,789 ",,, 1 ," 1,478 ",,,,,,, 1 ," 3,929 ",,,,,
051048,,, 1 ," 3,242 ",,,,,,,,,,, 2 ," 2,553 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 9,160 ",,,,,
051054,,,,,,,,,,,,,,,,,,,,,,, 3 ," 5,258 ", 1 ," 4,290 ",,, 1 ," 3,263 ",,,,,,,,,,,,, 1 ," 7,249 ",
051056,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,, 3 ," 6,089 ", 2 ," 4,466 ",,,,,
051057,,,,,,,,,,,,,,,,,,, 1 ," 1,602 ",,, 4 ," 2,184 ", 3 ," 6,013 ", 7 ," 3,807 ", 1 ," 4,943 ", 2 ," 3,453 ",,, 1 ," 8,541 ", 2 ," 7,347 ", 11 ," 7,724 ", 6 ," 6,286 ",,,
051059,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051060,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 6,250 ",,,,,,,,, 1 ," 8,125 ", 1 ," 8,561 ",,, 1 ," 7,562 ",
051062,,,,,,,,, 1 ," 2,365 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051067,,,,,,, 1 ," 1,093 ", 2 ,, 3 , 896 , 3 ," 1,318 ", 1 ," 1,099 ",,, 1 ," 1,184 ", 1 ," 1,200 ", 1 ," 1,359 ", 1 ," 1,134 ", 1 ," 2,164 ",,, 1 ," 3,285 ",,, 1 ," 5,124 ",,, 1 ," 5,396 ",,,,,
051068,,,,,,,,,,,,,,,,,,,,,,,,, 15 ," 4,581 ", 23 ," 4,549 ", 31 ," 5,372 ", 32 ," 5,335 ", 9 ," 5,812 ", 4 ," 6,484 ", 1 ," 6,725 ", 1 ," 8,723 ", 7 ," 7,720 ",,,
051070,,,,, 1 ,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,, 1 ,,
051072, 1 ," 3,472 ",,, 1 ," 3,117 ",,,,,,,,,,,,, 10 ," 2,065 ", 1 ," 2,469 ",,, 2 ," 2,771 ",,, 2 ," 2,716 ", 2 ," 2,708 ", 3 ,, 5 ," 10,180 ", 1 , 487 , 3 ," 5,536 ", 3 ," 7,419 ",,,
051073,,,,, 1 ,,,, 1 ," 2,381 ",,,,,,,,, 1 ," 2,607 ", 2 ," 2,224 ",,,,,,,,,,,,,,,,,,,,,,,
051074,,,,,,,,, 3 ," 2,357 ", 1 ," 2,800 ", 2 ," 2,877 ", 2 ," 2,343 ", 2 ," 2,115 ",,, 2 ," 2,807 ", 1 ," 2,000 ", 2 ," 2,690 ", 1 ," 2,549 ",,,,, 1 ," 3,941 ", 1 ," 4,083 ",,,,,,,,,
051075, 2 ," 2,692 ", 2 ," 3,251 ",,,,, 1 ," 2,169 ",,,,, 1 ," 1,341 ",,, 1 ," 1,320 ", 1 ," 2,179 ", 1 ," 4,887 ",,,,, 3 ," 2,749 ",,, 4 ," 5,338 ",,,,,,, 1 ," 5,037 ",,,
051076, 1 ," 3,876 ",,,,, 1 ,, 1 ," 1,842 ", 1 ," 2,920 ", 1 ," 1,842 ", 2 ," 1,367 ", 2 ," 1,858 ", 1 ," 2,717 ", 2 ," 2,211 ", 1 ," 2,625 ", 2 ," 2,779 ", 1 ," 2,527 ", 1 ," 4,361 ", 1 ," 6,120 ", 1 ," 3,667 ",,, 1 ," 5,457 ",,,,,,,
051078,,,,,,,,,,, 2 ," 1,375 ",,,,,,,,,,,,, 2 ," 2,949 ",,, 1 ," 2,266 ",,,,,,,,,,,,,,,
051081,,,,,,, 1 ," 2,126 ",,,,,,,,,,,,,,, 1 ,,,,,,,, 1 ," 3,964 ",,,,,,,,,,,,,
051083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5 ,, 1 ,,
051084,,,,,,,,,,,,,,,,, 1 ,, 3 ,,,, 2 ," 2,702 ",,, 2 ," 2,821 ", 1 ," 4,614 ",,,,,,,,,,,,,,,
051087,,, 2 ," 2,547 ", 3 ," 2,580 ", 2 ," 5,190 ",,,,, 1 ," 10,100 ",,, 3 ," 2,730 ", 1 ," 2,882 ",,, 3 ," 2,334 ",,, 1 , 998 ,,, 1 ," 2,941 ", 1 ," 3,919 ",,,,, 3 ," 8,319 ",,,,,
051088, 1 ," 2,311 ",,, 1 ," 1,093 ",,, 1 ," 2,147 ", 1 ," 1,222 ",,, 1 ," 2,555 ",,,,, 2 ," 2,243 ", 2 ,, 1 ,,,, 1 ,, 1 ,,,,,,,,,, 3 ," 9,572 ",,,
051089,,,,,,,,, 1 ," 5,385 ",,,,, 1 ," 4,426 ", 1 ," 4,500 ",,, 1 ," 1,207 ",,,,,,,,,,, 1 ," 4,536 ",,, 1 ," 3,835 ",,, 1 ," 8,085 ",,,
051090, 1 ," 3,239 ",,,,,,,,,,, 1 ," 2,290 ",,,,,,,,, 83 ," 4,797 ", 134 ," 4,690 ", 37 ," 5,003 ", 15 ," 5,147 ", 4 ," 5,150 ", 2 ," 6,207 ", 1 ," 4,733 ",,, 1 ," 6,715 ",,,,,
051092,,, 1 ," 1,988 ", 1 ," 2,712 ",,,,,,, 1 ," 1,944 ",,, 1 ," 1,111 ", 1 ," 1,463 ",,, 2 ," 2,010 ",,,,,,,,,,, 1 ," 7,119 ", 1 ," 6,169 ",,, 1 ," 3,902 ",,,
051094,,,,,,,,,,,,, 1 ," 2,389 ", 1 ," 2,714 ",,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,
051095,,,,,,,,,,,,,,,,,,,,,,, 1 ," 1,543 ",,,,,,,,,,,,,,,,,,,,,
051096,,,,, 1 ," 4,056 ", 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051097, 2 ," 1,453 ", 2 ," 1,362 ", 2 ," 1,269 ", 2 ," 1,237 ", 3 ," 1,197 ",,,,,,, 1 ," 2,476 ", 1 ," 1,803 ",,, 1 ," 2,105 ",,,,,,, 1 ," 3,199 ",,,,,,,,,,,,,
051099,,,,,,,,,,,,,,,,, 2 ,,,,,,,,,,,,,,,,,,,,,,,, 1 ," 7,024 ",,,
051100,,,,,,,,,,,,, 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051101,,, 1 ," 3,484 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051102,,,,,,,,,,,,,,,,,,,,, 1 , 447 ,,,,,,,,,,,,,,,,, 1 ," 4,661 ",,,,,
051105,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,, 3 ," 5,011 ", 4 ," 4,936 ", 2 ," 5,824 ", 2 ," 9,447 ",,, 1 ,, 2 ," 8,835 ", 1 ,,,,
051106,,,,,,,,,,,,,,,,,,,,,,,,,,, 6 ," 4,541 ", 9 ," 4,768 ", 12 ," 5,316 ", 6 ," 6,763 ",,, 3 ," 6,601 ", 1 ," 7,198 ",,,,,
051110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2 ,,,,
051112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 ,,,,
051113,,,,,,,,,,,,, 1 ," 3,009 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051123,,,,,,,,,,, 1 ,,,, 1 ," 2,443 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051126,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2 ," 2,535 ",,,,,,,,,,,,,,,
051127,,,,, 1 ," 1,977 ",,,,,,, 2 ," 2,429 ",,,,,,, 4 ," 2,443 ",,,,,,, 1 ," 1,770 ",,, 1 ,, 2 ," 2,817 ",,, 2 ," 7,030 ", 1 ," 8,442 ",,,
051130,,,,,,,,,,,,,,,,,,, 5 ," 3,397 ", 3 ," 3,191 ",,, 1 ,,,, 1 ,,,,,,,,,,,,,, 1 ," 5,400 ",
051131, 6 ," 1,532 ", 4 ," 2,719 ", 5 ," 2,566 ", 6 ," 1,631 ", 6 ," 1,646 ", 7 ," 2,366 ", 4 ," 3,444 ", 4 ," 2,529 ", 2 ," 2,810 ", 4 ," 2,428 ", 3 ," 2,281 ",,, 2 ," 2,405 ", 4 ," 3,456 ", 3 ," 3,657 ",,, 2 ," 3,833 ", 1 ," 5,766 ", 2 ," 5,269 ",,,,, 1 ," 7,179 ",
051132,,, 2 ," 3,581 ", 2 ,, 3 ," 1,814 ",,,,, 1 ," 2,234 ",,, 2 ," 1,098 ", 3 ," 2,443 ",,,,, 1 ," 3,222 ", 1 ," 2,998 ", 1 ," 3,805 ", 1 ,, 2 ," 3,649 ", 2 ," 5,250 ",,,,, 3 ," 8,250 ",,,
051134,,,,,,,,,,, 1 ," 1,791 ",,,,,,,,,,,,, 4 ," 2,984 ", 2 ,,,,,,,,,,,, 1 ,, 1 ,,,,
051135, 1 ," 1,355 ",,,,,,, 4 ," 2,149 ", 2 ," 2,614 ", 1 ," 2,916 ", 1 ," 1,170 ", 2 ," 1,825 ",,, 2 ," 1,649 ",,, 1 ," 2,869 ",,,,,,, 1 ," 4,074 ", 5 ," 3,887 ", 1 ," 4,630 ",,, 5 ," 3,888 ",,,
051136,,,,,,,,,,,,,,,,, 1 ," 1,221 ",,, 2 ," 1,095 ", 1 ," 1,210 ", 7 ," 1,496 ",,,,,,, 1 ," 3,065 ",,,,,,,,,,,
051140,,,,,,,,, 1 ," 2,315 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051152,,,,,,,,, 1 ,,,,,,,, 2 ," 2,145 ", 3 ," 1,984 ",,,,,,,,,,,,,,,,,,,,, 3 ,,,,
051153,,,,,,,,,,,,,,,,, 1 ," 1,447 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
051600,,,,,,,,,,, 8 ," 1,517 ", 40 ," 1,768 ", 57 ," 1,904 ", 4 ,, 8 ," 1,173 ", 6 ," 1,419 ", 4 ," 1,574 ", 2 ," 1,502 ", 1 ," 2,279 ", 1 ," 3,039 ", 1 ," 3,797 ", 1 ," 3,961 ", 3 ," 4,018 ", 2 ," 4,569 ", 1 ," 8,584 ", 3 ," 5,260 ", 1 ," 5,192 ",
051601, 12 ," 2,474 ", 5 ," 2,366 ", 8 ," 2,513 ", 1 ,,,,,, 2 ," 1,718 ", 2 ," 2,892 ",,, 3 ," 2,517 ", 2 ," 2,475 ", 20 ," 2,267 ", 22 ," 3,189 ", 4 ," 3,031 ", 1 ," 3,588 ", 5 ," 3,083 ",,, 2 ," 4,733 ",,, 2 ," 2,738 ", 2 ," 7,369 ",,,
051605,,,,,,,,,,, 4 ,, 7 ,, 6 ,,,,,,,,,,,,,,,,,,,,,,,, 7 ," 3,384 ", 3 ,,,,
051608,,,,,,,,,,,,, 8 ,, 21 ," 2,513 ", 1 ," 2,537 ", 1 ,,,,,, 1 ,, 1 ,, 2 ," 3,473 ", 1 ," 3,726 ", 1 ," 4,062 ", 1 , 639 , 1 ,, 1 ," 3,827 ",,,,,
